ID,Name,Type 1,Type 2,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
680,Doublade,Steel,Ghost,448,190,258,59,110,150,45,49,35,6,False
681,AegislashBlade Forme,Steel,Ghost,520,360,160,60,150,50,150,50,60,6,False
681,AegislashShield Forme,Steel,Ghost,520,160,360,60,50,150,50,150,60,6,False
682,Spritzee,Fairy,,341,138,203,78,52,60,63,65,23,6,False
683,Aromatisse,Fairy,,462,200,262,101,72,72,99,89,29,6,False
684,Swirlix,Fairy,,341,156,185,62,48,66,59,57,49,6,False
685,Slurpuff,Fairy,,480,237,243,82,80,86,85,75,72,6,False
686,Inkay,Dark,Psychic,288,136,152,53,54,53,37,46,45,6,False
687,Malamar,Dark,Psychic,482,233,249,86,92,88,68,75,73,6,False
688,Binacle,Rock,Water,306,141,165,42,52,67,39,56,50,6,False
689,Barbaracle,Rock,Water,500,227,273,72,105,115,54,86,68,6,False
690,Skrelp,Poison,Water,320,150,170,50,60,60,60,60,30,6,False
691,Dragalge,Poison,Dragon,494,216,278,65,75,90,97,123,44,6,False
692,Clauncher,Water,,330,155,175,50,53,62,58,63,44,6,False
693,Clawitzer,Water,,500,252,248,71,73,88,120,89,59,6,False
694,Helioptile,Electric,Normal,289,169,120,44,38,33,61,43,70,6,False
695,Heliolisk,Electric,Normal,481,273,208,62,55,52,109,94,109,6,False
696,Tyrunt,Rock,Dragon,362,182,180,58,89,77,45,45,48,6,False
697,Tyrantrum,Rock,Dragon,521,261,260,82,121,119,69,59,71,6,False
698,Amaura,Rock,Ice,362,172,190,77,59,50,67,63,46,6,False
699,Aurorus,Rock,Ice,521,234,287,123,77,72,99,92,58,6,False
700,Sylveon,Fairy,,525,235,290,95,65,65,110,130,60,6,False
701,Hawlucha,Fighting,Flying,500,284,216,78,92,75,74,63,118,6,False
702,Dedenne,Electric,Fairy,431,240,191,67,58,57,81,67,101,6,False
703,Carbink,Rock,Fairy,500,150,350,50,50,150,50,150,50,6,False
704,Goomy,Dragon,,300,145,155,45,50,35,55,75,40,6,False
705,Sliggoo,Dragon,,452,218,234,68,75,53,83,113,60,6,False
706,Goodra,Dragon,,600,290,310,90,100,70,110,150,80,6,False
707,Klefki,Steel,Fairy,470,235,235,57,80,91,80,87,75,6,False
708,Phantump,Ghost,Grass,309,158,151,43,70,48,50,60,38,6,False
709,Trevenant,Ghost,Grass,474,231,243,85,110,76,65,82,56,6,False
710,PumpkabooAverage Size,Ghost,Grass,335,161,174,49,66,70,44,55,51,6,False
710,PumpkabooSmall Size,Ghost,Grass,335,166,169,44,66,70,44,55,56,6,False
710,PumpkabooLarge Size,Ghost,Grass,335,156,179,54,66,70,44,55,46,6,False
710,PumpkabooSuper Size,Ghost,Grass,335,151,184,59,66,70,44,55,41,6,False
711,GourgeistAverage Size,Ghost,Grass,494,232,262,65,90,122,58,75,84,6,False
711,GourgeistSmall Size,Ghost,Grass,494,242,252,55,85,122,58,75,99,6,False
711,GourgeistLarge Size,Ghost,Grass,494,222,272,75,95,122,58,75,69,6,False
711,GourgeistSuper Size,Ghost,Grass,494,212,282,85,100,122,58,75,54,6,False
712,Bergmite,Ice,,304,129,175,55,69,85,32,35,28,6,False
713,Avalugg,Ice,,514,189,325,95,117,184,44,46,28,6,False
714,Noibat,Flying,Dragon,245,130,115,40,30,35,45,40,55,6,False
715,Noivern,Flying,Dragon,535,290,245,85,70,80,97,80,123,6,False
716,Xerneas,Fairy,,680,361,319,126,131,95,131,98,99,6,True
717,Yveltal,Dark,Flying,680,361,319,126,131,95,131,98,99,6,True
718,Zygarde50% Forme,Dragon,Ground,600,276,324,108,100,121,81,95,95,6,True
719,Diancie,Rock,Fairy,600,250,350,50,100,150,100,150,50,6,True
719,DiancieMega Diancie,Rock,Fairy,700,430,270,50,160,110,160,110,110,6,True
720,HoopaHoopa Confined,Psychic,Ghost,600,330,270,80,110,60,150,130,70,6,True
720,HoopaHoopa Unbound,Psychic,Dark,680,410,270,80,160,60,170,130,80,6,True
721,Volcanion,Fire,Water,600,310,290,80,110,120,130,90,70,6,True
